id,fetched_at,name,album_type,available_markets_rowid,external_id_upc,copyright_c,copyright_p,label,popularity,release_date,release_date_precision,total_tracks
7GicDmV1udDFss8K0QY1v1,2025-03-13 00:00:00.000000 +00:00,The Giver,single,2,00602478070945,"© 2025 KRA International Inc., under exclusive license to Island Records, a division of UMG Recordings, Inc.","℗ 2025 KRA International Inc., under exclusive license to Island Records, a division of UMG Recordings, Inc.",Chappell Roan PS/ Island,66,2025-03-13,day,1
6VnvZ5urI6jcvIJongGShJ,2025-03-13 00:00:00.000000 +00:00,Digital Notes,single,2,00602478061387,"© 2025 NOTD AB, under exclusive license to Universal Music AB","℗ 2025 NOTD AB, under exclusive license to Universal Music AB",Universal Music AB,42,2025-03-14,day,6
50OtQfrt3bjHLjnQMMT5KP,2025-03-13 00:00:00.000000 +00:00,SMOKE THE PAIN AWAY,single,3,196872883374,,(P) 2025 Sony Music Entertainment UK Limited,Columbia,53,2025-03-14,day,1
6pkRBjBGXdVF8b0AUCfuUl,2025-03-13 00:00:00.000000 +00:00,Leyla,single,4,5034644497150,32303235-2052-6f62-696e-204b61646972,32303235-2052-6f62-696e-204b61646972,Robin Kadir,35,2025-03-14,day,1
2VXZBVElPKvqrtO9Urh7CP,2025-03-13 00:00:00.000000 +00:00,Varningsklocka,single,3,196872873306,,(P) 2025 Midsommmarnatt under exclusive license to Sony Music Entertainment Sweden AB,Sony Music Sweden,32,2025-03-14,day,1
0K3N8ymk6GgL4lxLMPGEOB,2025-03-13 00:00:00.000000 +00:00,Sweethearts,single,3,7300343824497,2025 Tro & Tvivel. Distributed exclusively by Amuseio AB,2025 Tro & Tvivel. Distributed exclusively by Amuseio AB,Tro & Tvivel. Distributed exclusively by Amuseio AB,35,2025-03-14,day,1
1suyd6SSJJq9yOu1tH4LB1,2025-03-13 00:00:00.000000 +00:00,Relationships,single,5,00602475758549,© 2025 Universal Music Operations Limited,"℗ 2025 HAIM Productions Inc., under exclusive licence to Universal Music Operations Limited",Polydor Records,52,2025-03-12,day,1
4rP5iSFeZtZBhbyJqqLAVh,2025-03-13 00:00:00.000000 +00:00,If Only I Could Wait b/w Walk Home,single,3,617308094572,2025 Jagjaguwar,2025 Jagjaguwar,Jagjaguwar,55,2025-03-14,day,7
7BRJJiHj0QY7tJdUmf5vIn,2025-03-13 00:00:00.000000 +00:00,Once In A While,single,2,00602478009358,© 2025 Universal Music AB,℗ 2025 Universal Music AB,Universal Music AB,27,2025-03-14,day,1
4JCaqlPDBeT9kizAc3PGwL,2025-03-13 00:00:00.000000 +00:00,Sunset Blvd,single,2,00602478035791,"© 2025 SMG Music LLC & Friends Keep Secrets, under exclusive license to Interscope Records","℗ 2025 SMG Music LLC & Friends Keep Secrets, under exclusive license to Interscope Records",SMG Music LLC & Friends Keep Secrets under exclusive license to Interscope Records,56,2025-03-14,day,1
3DwhFPQWTCMMTbllQrAIpL,2025-03-13 00:00:00.000000 +00:00,Still Bad,single,4,075679616586,© 2025 Nice Life Recording Company and Atlantic Recording Corporation,℗ 2025 Nice Life Recording Company and Atlantic Recording Corporation,Nice Life/Atlantic,50,2025-03-13,day,1
3dXTiG15LrfpSmQUP0au5g,2025-03-13 00:00:00.000000 +00:00,HOTBOX,single,3,196871936811,,"(P) 2025 Columbia Records, a Division of Sony Music Entertainment",Columbia,51,2025-03-14,day,1
0CM9k2h2QCT21C8nJmzOzF,2025-03-13 00:00:00.000000 +00:00,Morgonsol,single,3,199066944912,(C) 2025 Ensemble,(P) 2025 Ensemble,Ensemble,19,2025-03-14,day,1
3L66LCj1nrl49zNx8BRRHq,2025-03-13 00:00:00.000000 +00:00,glöm det,single,2,00602478073090,© 2025 Universal Music AB,℗ 2025 Universal Music AB,Universal Music AB,20,2025-03-14,day,1
2q2NWhj9rd5WnKokMmapIq,2025-03-13 00:00:00.000000 +00:00,FUFN (Fuck You For Now),single,3,196872861617,,(P) 2025 Sony Music Entertainment UK Limited under exclusive licence from Jade Amelia Limited,RCA Records Label,51,2025-03-14,day,5
3lyRrGhXCCMbt4jVO9Wur2,2025-03-13 00:00:00.000000 +00:00,HOT,single,3,198704375187,© 2025 SOURCE MUSIC,℗ 2025 SOURCE MUSIC,SOURCE MUSIC,65,2025-03-14,day,5
0S5MNLgZE7impVo3pcvHEV,2025-03-13 00:00:00.000000 +00:00,Stuck Cat,single,3,7072868002482,© 2025 Propeller Recordings,℗ 2025 Propeller Recordings,PROPELLER RECORDINGS,27,2025-03-14,day,1
0iOOkO4HXesEStWpgVqITU,2025-03-13 00:00:00.000000 +00:00,Blekgrå,single,3,7350110873593,32303235-2054-454e-2052-65636f726473,32303235-2054-454e-2052-65636f726473,TEN Records,18,2025-03-14,day,5
2S3n3sIXBXVdU1zEeY3MRq,2025-03-13 00:00:00.000000 +00:00,Let Me In,single,2,00602478045677,"© 2025 Riggins Recording, under exclusive license to Island Records, a division of Universal Music Operations Limited and Interscope Records, a division of UMG Recordings Inc.","℗ 2025 Riggins Recording, under exclusive license to Island Records, a division of Universal Music Operations Limited and Interscope Records, a division of UMG Recordings Inc.",Riggins Recording/Interscope Records/Island Records,50,2025-03-11,day,1
1RG65pwv31lbwjOfdEmfJR,2025-03-13 00:00:00.000000 +00:00,Andas,single,3,7300343926030,32303235-2041-544d-2052-45434f524453,32303235-2041-544d-2052-45434f524453,ATM RECORDS,30,2025-03-14,day,1
0fSfkmx0tdPqFYkJuNX74a,2025-03-13 00:00:00.000000 +00:00,MUSIC,album,2,00602475797050,© 2025 AWGE/Interscope Records,℗ 2025 AWGE/Interscope Records,AWGE/Interscope Records,89,2025-03-14,day,30
0JtNg52YdsdeT8WbZs3ZdZ,2025-03-13 00:00:00.000000 +00:00,Birds fly high,single,2,00602478003882,"© 2025 Elias Hurtig EF, under exclusive license to Universal Music AB","℗ 2025 Elias Hurtig EF, under exclusive license to Universal Music AB",Universal Music AB,23,2025-03-14,day,3
4Hmb99zrLMh6mWw9W7Ojv6,2025-03-13 00:00:00.000000 +00:00,100 m,single,4,5021732733955,© 2025 Mansa Musa AB under exclusive license to Warner Music Sweden AB,℗ 2025 Mansa Musa AB under exclusive license to Warner Music Sweden AB,WM Sweden,25,2025-03-14,day,3
6gOjy2B2NiAGiqPlVAKnTs,2025-03-13 00:00:00.000000 +00:00,MORTAL KOMBAT,single,4,810129981568,c2a92032-3032-3520-4275-566973696f6e,℗ 2025 BuVision,BuVision,40,2025-03-14,day,1
73kvrZB4ck7G1Ka7YZcqyB,2025-03-13 00:00:00.000000 +00:00,So much worse,single,3,199066915677,(C) 2025 wednesday's child,(P) 2025 wednesday’s child,wednesday’s child,20,2025-03-14,day,1
46MlUsV2c7Jxi8tQItfT57,2025-03-13 00:00:00.000000 +00:00,See what heaven looks like now,album,3,198704323287,© 2025 tibia / WIFE,℗ 2025 tibia / WIFE,WIFE AB,22,2025-03-14,day,10
5QTrD7sEFUlkt5wXHS2wEa,2025-03-13 00:00:00.000000 +00:00,Sunny Baby,single,3,198704350993,© 2025 Lonely Cat under exclusive licence to Virgin Music Group,℗ 2025 Lonely Cat under exclusive licence to Virgin Music Group,The Kooks,39,2025-03-13,day,2
4WjiBXuiBrFqkRgIG9OCfr,2025-03-13 00:00:00.000000 +00:00,Only Love,single,6,09341004141001,© 2025 Mushroom Music,℗ 2025 Mushroom Music,Mushroom Music,33,2025-03-11,day,2
6nqDc8CPKCdWmaNysbYmfk,2025-03-13 00:00:00.000000 +00:00,"So Long, Ruben",single,4,5021732731753,© 2025 Markussen Music under exclusive license to Warner Music Norway AS,℗ 2025 Markussen Music under exclusive license to Warner Music Norway AS,WM Norway,30,2025-03-14,day,5
5xbuVE2oApu5EVIbJhLpEc,2025-03-13 00:00:00.000000 +00:00,Give Me A Sign (feat. Caroline Kingsbury),single,3,199066839522,(C) 2025 Black House Music,(P) 2025 Black House,Black House,39,2025-03-14,day,1
40O6jxEr7BR4qpMsqovjNx,2025-03-13 00:00:00.000000 +00:00,Mission,single,4,5034644508870,2025 Actuation,2025 Actuation,Actuation,39,2025-03-14,day,1
4rTrhYf2Z7DZG91fQstCkW,2025-03-13 00:00:00.000000 +00:00,Back To Life,single,4,5021732661654,© 2025 X Recordings,℗ 2025 X Recordings,X Recordings,33,2025-03-14,day,1
2QIUhg2uM6MxyAIfR67ckf,2025-03-13 00:00:00.000000 +00:00,THIS SONG IS NOT ABOUT YOU,single,3,199066670422,(C) 2025 Local Music Firm,(P) 2025 Local Music Firm,4c6f6361-6c20-4d75-7369-63204669726d,18,2025-03-12,day,1
4oZHqODDHufM94BWaQiBQY,2025-03-13 00:00:00.000000 +00:00,i'm low on gas and you need a jacket,single,3,8721253744856,2025 Cave Music LTD and Many Hats Distribution,2025 Cave Music LTD and Many Hats Distribution,Many Hats Distribution,43,2025-03-10,day,2
6sbkXlpjVLMg7D5lSiawXA,2025-03-13 00:00:00.000000 +00:00,Safeandsound,single,3,5056556157502,2025 PARCELS MUSIC GBR under exclusive license to Because Music SAS,2025 PARCELS MUSIC GBR under exclusive license to Because Music SAS,PARCELS MUSIC GbR,46,2025-03-12,day,2
6irdOmMm1renAtesHgETEv,2025-03-13 00:00:00.000000 +00:00,The Forest Is The Path (Extended Edition),album,2,00602478078941,© 2025 Universal Music Operations Limited,℗ 2025 Universal Music Operations Limited,Polydor Records,38,2025-03-14,day,18
5zHw4l7ugQFWW6gy0zUxpy,2025-03-13 00:00:00.000000 +00:00,"Relapse, Lies, & Betrayal",album,4,093624833307,"© 2025 717 Entertainment, Inc. under exclusive license to Warner Records Inc.","℗ 2025 717 Entertainment, Inc. under exclusive license to Warner Records Inc.",Warner Records,53,2025-03-14,day,21
0rTqvDgJ5Ec2zuuQrxVP1W,2025-03-13 00:00:00.000000 +00:00,426f7571-7565-7420-2844-656c75786529,album,2,00602475936428,© 2025 Interscope Records,℗ 2025 Interscope Records,Interscope Records,41,2025-03-14,day,22
6hKgMK6qoHJO0lLWq2O6nN,2025-03-13 00:00:00.000000 +00:00,Fakkin Cumbia,single,3,889845992240,(C) 2025 Redline Recordings,(P) 2025 Redline Recordings,Redline Recordings,22,2025-03-14,day,1
